"Your company has decided to make a major revision of their API in order to create better experiences for their developers. They need to keep the old version of the API available and deployable, while allowing new customers and testers to try out the new API. They want to keep the same SSL and DNS records in place to serve both APIs. What should they do?","Configure a new load balancer for the new version of the API","Reconfigure old clients to use a new endpoint for the new API","Have the old API forward traffic to the new API based on the path","Use separate backend pools for each API path behind the load balancer","Use separate backend pools for each API path behind the load balancer"
"Your company plans to migrate a multi-petabyte data set to the cloud. The data set must be available 24hrs a day. Your business analysts have experience only with using a SQL interface. How should you store the data to optimize it for ease of analysis?","Load data into Google BigQuery","Insert data into Google Cloud SQL","Put flat files into Google Cloud Storage","Stream data into Google Cloud Datastore","Load data into Google BigQuery"
"The operations manager asks you for a list of recommended practices that she should consider when migrating a J2EE application to the cloud. Which three practices should you recommend? (Choose three.)","Port the application code to run on Google App Engine","Integrate Cloud Dataflow into the application to capture real-time metrics","Instrument the application with a monitoring tool like Stackdriver Debugger","Select an automation framework to reliably provision the cloud infrastructure","Deploy a continuous integration tool with automated testing in a staging environment","Migrate from MySQL to a managed NoSQL database like Google Cloud Datastore or Bigtable","Port the application code to run on Google App Engine, Select an automation framework to reliably provision the cloud infrastructure, Deploy a continuous integration tool with automated testing in a staging environment"
"An application development team believes their current logging tool will not meet their needs for their new cloud-based product. They want a better tool to capture errors and help them analyze their historical log data. You want to help them find a solution that meets their needs. What should you do?","Direct them to download and install the Google StackDriver logging agent","Send them a list of online resources about logging best practices","Help them define their requirements and assess viable logging tools","Help them upgrade their current tool to take advantage of any new features","Help them define their requirements and assess viable logging tools"
"You need to reduce the number of unplanned rollbacks of erroneous production deployments in your company's web hosting platform. Improvement to the QA/Test processes accomplished an 80% reduction. Which additional two approaches can you take to further reduce the rollbacks? (Choose two.)","Introduce a green-blue deployment model","Replace the QA environment with canary releases","Fragment the monolithic platform into microservices","Reduce the platform's dependency on relational database systems","Replace the platform's relational database systems with a NoSQL database"," Introduce a green-blue deployment mode, Fragment the monolithic platform into microservices"
"To reduce costs, the Director of Engineering has required all developers to move their development infrastructure resources from on-premises virtual machines (VMs) to Google Cloud Platform. These resources go through multiple start/stop events during the day and require state to persist. You have been asked to design the process of running a development environment in Google Cloud while providing cost visibility to the finance department. Which two steps should you take? (Choose two.)","Use the - -no-auto-delete flag on all persistent disks and stop the VM","Use the - -auto-delete flag on all persistent disks and terminate the VM","Apply VM CPU utilization label and include it in the BigQuery billing export","Use Google BigQuery billing export and labels to associate cost to groups","Store all state into local SSD, snapshot the persistent disks, and terminate the VM","Store all state in Google Cloud Storage, snapshot the persistent disks, and terminate the VM","Use the - -no-auto-delete flag on all persistent disks and stop the VM, Use Google BigQuery billing export and labels to associate cost to groups"
"Your company wants to track whether someone is present in a meeting room reserved for a scheduled meeting. There are 1000 meeting rooms across 5 offices on 3 continents. Each room is equipped with a motion sensor that reports its status every second. The data from the motion detector includes only a sensor ID and several different discrete items of information. Analysts will use this data, together with information about account owners and office locations. Which database type should you use?","Flat file","NoSQL","Relational","Blobstore","NoSQL"
"You set up an autoscaling instance group to serve web traffic for an upcoming launch. After configuring the instance group as a backend service to an HTTP(S) load balancer, you notice that virtual machine (VM) instances are being terminated and re-launched every minute. The instances do not have a public IP address. You have verified the appropriate web response is coming from each instance using the curl command. You want to ensure the backend is configured correctly. What should you do?","Ensure that a firewall rules exists to allow source traffic on HTTP/HTTPS to reach the load balancer","Assign a public IP to each instance and configure a firewall rule to allow the load balancer to reach the instance public IP","Ensure that a firewall rule exists to allow load balancer health checks to reach the instances in the instance group","Create a tag on each instance with the name of the load balancer. Configure a firewall rule with the name of the load balancer as the source and the instance tag as the destination."," Ensure that a firewall rule exists to allow load balancer health checks to reach the instances in the instance group."
"You write a Python script to connect to Google BigQuery from a Google Compute Engine virtual machine. The script is printing errors that it cannot connect to BigQuery. What should you do to fix the script?","Install the latest BigQuery API client library for Python","Run your script on a new virtual machine with the BigQuery access scope enabled","Create a new service account with BigQuery access and execute your script with that user","Install the bq component for gcloud with the command gcloud components install bq.","Run your script on a new virtual machine with the BigQuery access scope enabled"
"Your customer is moving an existing corporate application to Google Cloud Platform from an on-premises data center. The business owners require minimal user disruption. There are strict security team requirements for storing passwords. What authentication strategy should they use?","Use G Suite Password Sync to replicate passwords into Google","Federate authentication via SAML 2.0 to the existing Identity Provider","Provision users in Google using the Google Cloud Directory Sync tool"."Ask users to set their Google password to match their corporate password","Provision users in Google using the Google Cloud Directory Sync tool"
